....helium3d scene converter utility (.3ds to .scene)
....helium3d (c) 2000-2001 acid.z51
....usage: he3d_3ds2scene in.3ds out.scene [scale]
....usage: he3d_3ds2scene in.3ds -extract meshname [outfilename]

....loading rotacja.3DS file
....mesh BOX73 loaded
....mesh BOX19 loaded
....mesh BOX65 loaded
....mesh BOX64 loaded
....mesh BOX74 loaded
....mesh BOX08 loaded
....mesh BOX18 loaded
....mesh BOX17 loaded
....mesh BOX158 loaded
....mesh BOX159 loaded
....mesh BOX160 loaded
....mesh BOX161 loaded
....mesh BOX162 loaded
....mesh BOX163 loaded
....mesh BOX164 loaded
....mesh BOX165 loaded
....mesh BOX166 loaded
....mesh BOX167 loaded
....mesh BOX168 loaded
....mesh BOX169 loaded
....mesh BOX170 loaded
....mesh BOX171 loaded
....mesh BOX172 loaded
....mesh BOX173 loaded
....mesh BOX174 loaded
....mesh BOX175 loaded
....mesh BOX176 loaded
....mesh BOX177 loaded
....mesh BOX178 loaded
....mesh BOX179 loaded
....mesh BOX180 loaded
....mesh BOX181 loaded
....mesh BOX182 loaded
....mesh BOX183 loaded
....mesh BOX184 loaded
....mesh BOX185 loaded
....mesh BOX186 loaded
....mesh BOX187 loaded
....mesh BOX188 loaded
....mesh BOX189 loaded
....mesh BOX190 loaded
....mesh BOX191 loaded
....mesh BOX192 loaded
....mesh BOX193 loaded
....mesh BOX194 loaded
....mesh BOX195 loaded
....mesh BOX196 loaded
....mesh BOX197 loaded
....mesh BOX198 loaded
....mesh BOX199 loaded
....mesh BOX200 loaded
....mesh BOX201 loaded
....mesh BOX202 loaded
....mesh BOX203 loaded
....mesh BOX204 loaded
....mesh BOX205 loaded
....mesh BOX206 loaded
....mesh BOX207 loaded
....mesh BOX208 loaded
....mesh BOX209 loaded
....mesh BOX210 loaded
....mesh BOX211 loaded
....mesh BOX212 loaded
....mesh BOX213 loaded
....mesh BOX214 loaded
....mesh BOX215 loaded
....mesh BOX216 loaded
....mesh BOX217 loaded
....mesh BOX218 loaded
....mesh BOX219 loaded
....mesh BOX220 loaded
....mesh BOX221 loaded
....mesh BOX222 loaded
....mesh BOX223 loaded
....mesh BOX224 loaded
....mesh BOX225 loaded
....mesh BOX226 loaded
....mesh BOX227 loaded
....mesh BOX228 loaded
....mesh BOX229 loaded
....mesh BOX230 loaded
....mesh BOX231 loaded
....mesh BOX232 loaded
....mesh BOX233 loaded
....mesh BOX234 loaded
....mesh BOX235 loaded
....camera CAMERA01 loaded
....target CAMERA01.TARGET loaded
....camera CAMERA02 loaded
....target CAMERA02.TARGET loaded
....keyframer of mesh GROUP01 loaded
....keyframer of mesh BOX117 loaded
....keyframer of mesh BOX24 loaded
....keyframer of mesh BOX25 loaded
....keyframer of mesh BOX26 loaded
....keyframer of mesh BOX27 loaded
....keyframer of mesh BOX28 loaded
....keyframer of mesh BOX29 loaded
....keyframer of mesh BOX30 loaded
....keyframer of mesh BOX32 loaded
....keyframer of mesh BOX33 loaded
....keyframer of mesh BOX34 loaded
....keyframer of mesh BOX37 loaded
....keyframer of mesh BOX39 loaded
....keyframer of mesh BOX40 loaded
....keyframer of mesh BOX41 loaded
....keyframer of mesh BOX48 loaded
....keyframer of mesh BOX49 loaded
....keyframer of mesh BOX50 loaded
....keyframer of mesh BOX52 loaded
....keyframer of mesh BOX53 loaded
....keyframer of mesh BOX54 loaded
....keyframer of mesh BOX55 loaded
....keyframer of mesh BOX56 loaded
....keyframer of mesh BOX57 loaded
....keyframer of mesh BOX58 loaded
....keyframer of mesh BOX83 loaded
....keyframer of mesh BOX84 loaded
....keyframer of mesh BOX85 loaded
....keyframer of mesh BOX86 loaded
....keyframer of mesh BOX87 loaded
....keyframer of mesh BOX88 loaded
....keyframer of mesh BOX89 loaded
....keyframer of mesh BOX92 loaded
....keyframer of mesh BOX105 loaded
....keyframer of mesh BOX106 loaded
....keyframer of mesh BOX107 loaded
....keyframer of mesh BOX108 loaded
....keyframer of mesh BOX115 loaded
....keyframer of mesh BOX116 loaded
....keyframer of mesh BOX21 loaded
....keyframer of mesh BOX118 loaded
....keyframer of mesh BOX119 loaded
....keyframer of mesh BOX120 loaded
....keyframer of mesh BOX121 loaded
....keyframer of mesh BOX122 loaded
....keyframer of mesh BOX123 loaded
....keyframer of mesh BOX124 loaded
....keyframer of mesh BOX125 loaded
....keyframer of mesh BOX126 loaded
....keyframer of mesh BOX127 loaded
....keyframer of mesh BOX128 loaded
....keyframer of mesh BOX129 loaded
....keyframer of mesh BOX130 loaded
....keyframer of mesh BOX131 loaded
....keyframer of mesh BOX132 loaded
....keyframer of mesh BOX133 loaded
....keyframer of mesh BOX134 loaded
....keyframer of mesh BOX135 loaded
....keyframer of mesh BOX136 loaded
....keyframer of mesh BOX137 loaded
....keyframer of mesh BOX138 loaded
....keyframer of mesh BOX139 loaded
....keyframer of mesh BOX140 loaded
....keyframer of mesh BOX146 loaded
....keyframer of mesh BOX147 loaded
....keyframer of mesh BOX148 loaded
....keyframer of mesh BOX149 loaded
....keyframer of mesh BOX156 loaded
....keyframer of mesh BOX157 loaded
....keyframer of mesh BOX63 loaded
....keyframer of mesh BOX73 loaded
....keyframer of mesh BOX19 loaded
....keyframer of mesh BOX65 loaded
....keyframer of mesh BOX64 loaded
....keyframer of mesh BOX74 loaded
....keyframer of mesh BOX08 loaded
....keyframer of mesh BOX18 loaded
....keyframer of mesh BOX17 loaded
....keyframer of mesh GROUP02 loaded
....keyframer of mesh BOX158 loaded
....keyframer of mesh BOX159 loaded
....keyframer of mesh BOX160 loaded
....keyframer of mesh BOX161 loaded
....keyframer of mesh BOX162 loaded
....keyframer of mesh BOX163 loaded
....keyframer of mesh BOX164 loaded
....keyframer of mesh BOX165 loaded
....keyframer of mesh BOX166 loaded
....keyframer of mesh BOX167 loaded
....keyframer of mesh BOX168 loaded
....keyframer of mesh BOX169 loaded
....keyframer of mesh BOX170 loaded
....keyframer of mesh BOX171 loaded
....keyframer of mesh BOX172 loaded
....keyframer of mesh BOX173 loaded
....keyframer of mesh BOX174 loaded
....keyframer of mesh BOX175 loaded
....keyframer of mesh BOX176 loaded
....keyframer of mesh BOX177 loaded
....keyframer of mesh BOX178 loaded
....keyframer of mesh BOX179 loaded
....keyframer of mesh BOX180 loaded
....keyframer of mesh BOX181 loaded
....keyframer of mesh BOX182 loaded
....keyframer of mesh BOX183 loaded
....keyframer of mesh BOX184 loaded
....keyframer of mesh BOX185 loaded
....keyframer of mesh BOX186 loaded
....keyframer of mesh BOX187 loaded
....keyframer of mesh BOX188 loaded
....keyframer of mesh BOX189 loaded
....keyframer of mesh BOX190 loaded
....keyframer of mesh BOX191 loaded
....keyframer of mesh BOX192 loaded
....keyframer of mesh BOX193 loaded
....keyframer of mesh BOX194 loaded
....keyframer of mesh BOX195 loaded
....keyframer of mesh BOX196 loaded
....keyframer of mesh BOX197 loaded
....keyframer of mesh BOX198 loaded
....keyframer of mesh BOX199 loaded
....keyframer of mesh BOX200 loaded
....keyframer of mesh BOX201 loaded
....keyframer of mesh BOX202 loaded
....keyframer of mesh BOX203 loaded
....keyframer of mesh BOX204 loaded
....keyframer of mesh BOX205 loaded
....keyframer of mesh BOX206 loaded
....keyframer of mesh BOX207 loaded
....keyframer of mesh BOX208 loaded
....keyframer of mesh BOX209 loaded
....keyframer of mesh BOX210 loaded
....keyframer of mesh BOX211 loaded
....keyframer of mesh BOX212 loaded
....keyframer of mesh BOX213 loaded
....keyframer of mesh BOX214 loaded
....keyframer of mesh BOX215 loaded
....keyframer of mesh BOX216 loaded
....keyframer of mesh BOX217 loaded
....keyframer of mesh BOX218 loaded
....keyframer of mesh BOX219 loaded
....keyframer of mesh BOX220 loaded
....keyframer of mesh BOX221 loaded
....keyframer of mesh BOX222 loaded
....keyframer of mesh BOX223 loaded
....keyframer of mesh BOX224 loaded
....keyframer of mesh BOX225 loaded
....keyframer of mesh BOX226 loaded
....keyframer of mesh BOX227 loaded
....keyframer of mesh BOX228 loaded
....keyframer of mesh BOX229 loaded
....keyframer of mesh BOX230 loaded
....keyframer of mesh BOX231 loaded
....keyframer of mesh BOX232 loaded
....keyframer of mesh BOX233 loaded
....keyframer of mesh BOX234 loaded
....keyframer of mesh BOX235 loaded
....keyframer of camera CAMERA01 loaded
....keyframer of target CAMERA01.TARGET loaded
....keyframer of camera CAMERA02 loaded
....keyframer of target CAMERA02.TARGET loaded

....saving rotacja.fox file
....material MATERIAL #1 saved
	  + texture file name: 1234567.JPG
....mesh BOX117 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX24 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX25 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX26 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX27 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX28 saved
     + number of vertices: 26
     + number of faces: 12
     + number of group: 1
....mesh BOX29 saved
     + number of vertices: 26
     + number of faces: 12
     + number of group: 1
....mesh BOX30 saved
     + number of vertices: 26
     + number of faces: 12
     + number of group: 1
....mesh BOX32 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX33 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX34 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX37 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX39 saved
     + number of vertices: 26
     + number of faces: 12
     + number of group: 1
....mesh BOX40 saved
     + number of vertices: 26
     + number of faces: 12
     + number of group: 1
....mesh BOX41 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX48 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX49 saved
     + number of vertices: 26
     + number of faces: 12
     + number of group: 1
....mesh BOX50 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX52 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX53 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX54 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX55 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX56 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX57 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX58 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX83 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX84 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX85 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX86 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX87 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX88 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX89 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX92 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX105 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX106 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX107 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX108 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX115 saved
     + number of vertices: 26
     + number of faces: 12
     + number of group: 1
....mesh BOX116 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX21 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX118 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX119 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX120 saved
     + number of vertices: 26
     + number of faces: 12
     + number of group: 1
....mesh BOX121 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX122 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX123 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX124 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX125 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX126 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX127 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX128 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX129 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX130 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX131 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX132 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX133 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX134 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX135 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX136 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX137 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX138 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX139 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX140 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX146 saved
     + number of vertices: 26
     + number of faces: 12
     + number of group: 1
....mesh BOX147 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX148 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX149 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX156 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX157 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX63 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX73 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX19 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX65 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX64 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX74 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX08 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX18 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX17 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX158 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX159 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX160 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX161 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX162 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX163 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX164 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX165 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX166 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX167 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX168 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX169 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX170 saved
     + number of vertices: 26
     + number of faces: 12
     + number of group: 1
....mesh BOX171 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX172 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX173 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX174 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX175 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX176 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX177 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX178 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX179 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX180 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX181 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX182 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX183 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX184 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX185 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX186 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX187 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX188 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX189 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX190 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX191 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX192 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX193 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX194 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX195 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX196 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX197 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX198 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX199 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX200 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX201 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX202 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX203 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX204 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX205 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX206 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX207 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX208 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX209 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX210 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX211 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX212 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX213 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX214 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX215 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX216 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX217 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX218 saved
     + number of vertices: 26
     + number of faces: 12
     + number of group: 1
....mesh BOX219 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX220 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX221 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX222 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX223 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX224 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX225 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX226 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX227 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX228 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX229 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX230 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX231 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX232 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX233 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX234 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX235 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....camera CAMERA01 saved
     + position: [-123.51,0.00,-156.51]
     + fov: 26.67
     + roll: 0.00
....target CAMERA01.TARGET saved
     + position: [81.44,0.00,-10.83]
....camera CAMERA02 saved
     + position: [148.10,0.00,-200.96]
     + fov: 26.67
     + roll: 0.00
....target CAMERA02.TARGET saved
     + position: [24.64,0.00,-52.80]
....keyframer tree saved
     + node: GROUP01 (null)
      + node: BOX117 (mesh)
      + node: BOX24 (mesh)
      + node: BOX25 (mesh)
      + node: BOX26 (mesh)
      + node: BOX27 (mesh)
      + node: BOX28 (mesh)
      + node: BOX29 (mesh)
      + node: BOX30 (mesh)
      + node: BOX32 (mesh)
      + node: BOX33 (mesh)
      + node: BOX34 (mesh)
      + node: BOX37 (mesh)
      + node: BOX39 (mesh)
      + node: BOX40 (mesh)
      + node: BOX41 (mesh)
      + node: BOX48 (mesh)
      + node: BOX49 (mesh)
      + node: BOX50 (mesh)
      + node: BOX52 (mesh)
      + node: BOX53 (mesh)
      + node: BOX54 (mesh)
      + node: BOX55 (mesh)
      + node: BOX56 (mesh)
      + node: BOX57 (mesh)
      + node: BOX58 (mesh)
      + node: BOX83 (mesh)
      + node: BOX84 (mesh)
      + node: BOX85 (mesh)
      + node: BOX86 (mesh)
      + node: BOX87 (mesh)
      + node: BOX88 (mesh)
      + node: BOX89 (mesh)
      + node: BOX92 (mesh)
      + node: BOX105 (mesh)
      + node: BOX106 (mesh)
      + node: BOX107 (mesh)
      + node: BOX108 (mesh)
      + node: BOX115 (mesh)
      + node: BOX116 (mesh)
      + node: BOX21 (mesh)
      + node: BOX118 (mesh)
      + node: BOX119 (mesh)
      + node: BOX120 (mesh)
      + node: BOX121 (mesh)
      + node: BOX122 (mesh)
      + node: BOX123 (mesh)
      + node: BOX124 (mesh)
      + node: BOX125 (mesh)
      + node: BOX126 (mesh)
      + node: BOX127 (mesh)
      + node: BOX128 (mesh)
      + node: BOX129 (mesh)
      + node: BOX130 (mesh)
      + node: BOX131 (mesh)
      + node: BOX132 (mesh)
      + node: BOX133 (mesh)
      + node: BOX134 (mesh)
      + node: BOX135 (mesh)
      + node: BOX136 (mesh)
      + node: BOX137 (mesh)
      + node: BOX138 (mesh)
      + node: BOX139 (mesh)
      + node: BOX140 (mesh)
      + node: BOX146 (mesh)
      + node: BOX147 (mesh)
      + node: BOX148 (mesh)
      + node: BOX149 (mesh)
      + node: BOX156 (mesh)
      + node: BOX157 (mesh)
      + node: BOX63 (mesh)
      + node: BOX73 (mesh)
      + node: BOX19 (mesh)
      + node: BOX65 (mesh)
      + node: BOX64 (mesh)
      + node: BOX74 (mesh)
      + node: BOX08 (mesh)
      + node: BOX18 (mesh)
      + node: BOX17 (mesh)
     + node: GROUP02 (null)
      + node: BOX158 (mesh)
      + node: BOX159 (mesh)
      + node: BOX160 (mesh)
      + node: BOX161 (mesh)
      + node: BOX162 (mesh)
      + node: BOX163 (mesh)
      + node: BOX164 (mesh)
      + node: BOX165 (mesh)
      + node: BOX166 (mesh)
      + node: BOX167 (mesh)
      + node: BOX168 (mesh)
      + node: BOX169 (mesh)
      + node: BOX170 (mesh)
      + node: BOX171 (mesh)
      + node: BOX172 (mesh)
      + node: BOX173 (mesh)
      + node: BOX174 (mesh)
      + node: BOX175 (mesh)
      + node: BOX176 (mesh)
      + node: BOX177 (mesh)
      + node: BOX178 (mesh)
      + node: BOX179 (mesh)
      + node: BOX180 (mesh)
      + node: BOX181 (mesh)
      + node: BOX182 (mesh)
      + node: BOX183 (mesh)
      + node: BOX184 (mesh)
      + node: BOX185 (mesh)
      + node: BOX186 (mesh)
      + node: BOX187 (mesh)
      + node: BOX188 (mesh)
      + node: BOX189 (mesh)
      + node: BOX190 (mesh)
      + node: BOX191 (mesh)
      + node: BOX192 (mesh)
      + node: BOX193 (mesh)
      + node: BOX194 (mesh)
      + node: BOX195 (mesh)
      + node: BOX196 (mesh)
      + node: BOX197 (mesh)
      + node: BOX198 (mesh)
      + node: BOX199 (mesh)
      + node: BOX200 (mesh)
      + node: BOX201 (mesh)
      + node: BOX202 (mesh)
      + node: BOX203 (mesh)
      + node: BOX204 (mesh)
      + node: BOX205 (mesh)
      + node: BOX206 (mesh)
      + node: BOX207 (mesh)
