
....loading scene.3ds file
....keyframer of mesh DONICA08 loaded
....keyframer of mesh KRZAK10 loaded
....keyframer of mesh DONICA09 loaded
....keyframer of mesh KRZAK11 loaded
....keyframer of mesh DONICA10 loaded
....keyframer of mesh BECZKA01 loaded
....keyframer of mesh BECZKA02 loaded
....keyframer of mesh BECZKA03 loaded
....keyframer of mesh BECZKA04 loaded
....keyframer of mesh BECZKA05 loaded
....keyframer of mesh BECZKA06 loaded
....keyframer of mesh SKRZYNIA01 loaded
....keyframer of mesh SKRZYNIA02 loaded
....keyframer of mesh SKRZYNIA03 loaded
....keyframer of mesh SKRZYNIA04 loaded
....keyframer of mesh SKRZYNIA05 loaded
....keyframer of mesh SKRZYNIA06 loaded
....keyframer of mesh SKRZYNIA07 loaded
....keyframer of mesh SKRZYNIA08 loaded
....keyframer of mesh SKRZYNIA09 loaded
....keyframer of mesh SKRZYNIA10 loaded
....keyframer of mesh SKRZYNIA11 loaded
....keyframer of mesh SKRZYNIA12 loaded
....keyframer of mesh SKRZYNIA13 loaded
....keyframer of mesh SKRZYNIA14 loaded
....keyframer of mesh SKRZYNIA15 loaded
....keyframer of mesh SKRZYNIA16 loaded
....keyframer of mesh SKRZYNIA17 loaded
....keyframer of mesh SKRZYNIA18 loaded
....keyframer of mesh SKRZYNIA19 loaded
....keyframer of mesh SKRZYNIA20 loaded
....keyframer of mesh OKNO01 loaded
....keyframer of mesh OKNO02 loaded
....keyframer of mesh BOX249 loaded
....keyframer of mesh BOX248 loaded
....keyframer of mesh BOX247 loaded
....keyframer of mesh BOX246 loaded
....keyframer of mesh BOX245 loaded
....keyframer of mesh PLANE49 loaded
....keyframer of mesh BOX239 loaded
....keyframer of mesh BOX238 loaded
....keyframer of mesh BOX237 loaded
....keyframer of mesh BOX236 loaded
....keyframer of mesh BOX235 loaded
....keyframer of mesh PLANE47 loaded
....keyframer of mesh BOX234 loaded
....keyframer of mesh BOX233 loaded
....keyframer of mesh BOX232 loaded
....keyframer of mesh BOX231 loaded
....keyframer of mesh BOX230 loaded
....keyframer of mesh PLANE46 loaded
....keyframer of mesh BOX229 loaded
....keyframer of mesh BOX228 loaded
....keyframer of mesh BOX227 loaded
....keyframer of mesh BOX226 loaded
....keyframer of mesh BOX225 loaded
....keyframer of mesh PLANE45 loaded
....keyframer of mesh BOX224 loaded
....keyframer of mesh BOX223 loaded
....keyframer of mesh BOX222 loaded
....keyframer of mesh BOX221 loaded
....keyframer of mesh BOX220 loaded
....keyframer of mesh PLANE44 loaded
....keyframer of mesh BOX214 loaded
....keyframer of mesh BOX213 loaded
....keyframer of mesh BOX212 loaded
....keyframer of mesh BOX211 loaded
....keyframer of mesh BOX210 loaded
....keyframer of mesh PLANE42 loaded
....keyframer of mesh BOX209 loaded
....keyframer of mesh BOX208 loaded
....keyframer of mesh BOX207 loaded
....keyframer of mesh BOX206 loaded
....keyframer of mesh BOX205 loaded
....keyframer of mesh PLANE41 loaded
....keyframer of mesh BOX204 loaded
....keyframer of mesh BOX203 loaded
....keyframer of mesh BOX202 loaded
....keyframer of mesh BOX201 loaded
....keyframer of mesh BOX200 loaded
....keyframer of mesh PLANE40 loaded
....keyframer of mesh BOX256 loaded
....keyframer of mesh BOX255 loaded
....keyframer of mesh BOX254 loaded
....keyframer of mesh BOX253 loaded
....keyframer of mesh BOX252 loaded
....keyframer of mesh BOX251 loaded
....keyframer of mesh PLANE50 loaded
....keyframer of mesh BOX250 loaded
....keyframer of mesh BOX184 loaded
....keyframer of mesh BOX183 loaded
....keyframer of mesh BOX182 loaded
....keyframer of mesh BOX181 loaded
....keyframer of mesh BOX180 loaded
....keyframer of mesh PLANE36 loaded
....keyframer of mesh BOX179 loaded
....keyframer of mesh BOX178 loaded
....keyframer of mesh BOX177 loaded
....keyframer of mesh BOX176 loaded
....keyframer of mesh PLANE35 loaded
....keyframer of mesh BOX175 loaded
....keyframer of mesh BOX174 loaded
....keyframer of mesh BOX173 loaded
....keyframer of mesh BOX172 loaded
....keyframer of mesh BOX171 loaded
....keyframer of mesh PLANE34 loaded
....keyframer of mesh BOX170 loaded
....keyframer of mesh BOX169 loaded
....keyframer of mesh BOX168 loaded
....keyframer of mesh BOX167 loaded
....keyframer of mesh BOX166 loaded
....keyframer of mesh BOX165 loaded
....keyframer of mesh PLANE33 loaded
....keyframer of mesh BOX164 loaded
....keyframer of mesh BOX163 loaded
....keyframer of mesh BOX162 loaded
....keyframer of mesh BOX161 loaded
....keyframer of mesh BOX160 loaded
....keyframer of mesh PLANE32 loaded
....keyframer of mesh BOX154 loaded
....keyframer of mesh BOX153 loaded
....keyframer of mesh BOX152 loaded
....keyframer of mesh BOX151 loaded
....keyframer of mesh BOX150 loaded
....keyframer of mesh PLANE30 loaded
....keyframer of mesh BOX149 loaded
....keyframer of mesh BOX148 loaded
....keyframer of mesh BOX147 loaded
....keyframer of mesh BOX146 loaded
....keyframer of mesh BOX145 loaded
....keyframer of mesh PLANE29 loaded
....keyframer of mesh BOX144 loaded
....keyframer of mesh BOX143 loaded
....keyframer of mesh BOX142 loaded
....keyframer of mesh PLANE28 loaded
....keyframer of mesh BOX141 loaded
....keyframer of mesh BOX140 loaded
....keyframer of mesh BOX139 loaded
....keyframer of mesh BOX138 loaded
....keyframer of mesh BOX137 loaded
....keyframer of mesh BOX136 loaded
....keyframer of mesh PLANE27 loaded
....keyframer of mesh BOX135 loaded
....keyframer of mesh BOX92 loaded
....keyframer of mesh BOX91 loaded
....keyframer of mesh BOX90 loaded
....keyframer of mesh BOX89 loaded
....keyframer of mesh BOX88 loaded
....keyframer of mesh PLANE18 loaded
....keyframer of mesh BOX77 loaded
....keyframer of mesh BOX76 loaded
....keyframer of mesh BOX75 loaded
....keyframer of mesh BOX74 loaded
....keyframer of mesh BOX73 loaded
....keyframer of mesh PLANE15 loaded
....keyframer of camera CAMERA01 loaded
....keyframer of target CAMERA01.TARGET loaded
....keyframer of mesh NIEBO loaded

....saving scene.3d file
....material PUSTYNIA saved
	  + texture file name: PIACH02.JPG
....material ZIEMIA saved
	  + texture file name: PIACH01.JPG
....material DACH saved
	  + texture file name: ADOBE03.JPG
....material KRZAK saved
	  + texture file name: KWIATY.JPG
....material DONICA saved
	  + texture file name: DONICA.JPG
....material BECZKA01 saved
	  + texture file name: BECZKA01.JPG
....material SKRZYNIA saved
	  + texture file name: SKRZYNIA.JPG
....material OKNO02 saved
	  + texture file name: OKNO02.JPG
....material OKNO saved
	  + texture file name: OKNO01.JPG
....material SCIANA02 saved
	  + texture file name: ADOBE01.JPG
....material TRIM saved
	  + texture file name: ADOBE.JPG
....material SCIANA01 saved
	  + texture file name: ADOBE02.JPG
....material NIEBO saved
	  + texture file name: NIEBO.JPG
....mesh ZIEMIA saved
     + number of vertices: 1110
     + number of faces: 2076
     + number of group: 1
....mesh ZIEMIAA saved
     + number of vertices: 216
     + number of faces: 80
     + number of group: 1
....mesh ZIEMIAA01 saved
     + number of vertices: 216
     + number of faces: 80
     + number of group: 1
....mesh KRZAK01 saved
     + number of vertices: 609
     + number of faces: 660
     + number of group: 1
....mesh DONICA saved
     + number of vertices: 79
     + number of faces: 48
     + number of group: 1
....mesh KRZAK02 saved
     + number of vertices: 609
     + number of faces: 660
     + number of group: 1
....mesh DONICA01 saved
     + number of vertices: 79
     + number of faces: 48
     + number of group: 1
....mesh KRZAK03 saved
     + number of vertices: 609
     + number of faces: 660
     + number of group: 1
....mesh DONICA02 saved
     + number of vertices: 79
     + number of faces: 48
     + number of group: 1
....mesh KRZAK05 saved
     + number of vertices: 609
     + number of faces: 660
     + number of group: 1
....mesh DONICA04 saved
     + number of vertices: 79
     + number of faces: 48
     + number of group: 1
....mesh KRZAK06 saved
     + number of vertices: 609
     + number of faces: 660
     + number of group: 1
....mesh DONICA05 saved
     + number of vertices: 79
     + number of faces: 48
     + number of group: 1
....mesh KRZAK07 saved
     + number of vertices: 609
     + number of faces: 660
     + number of group: 1
....mesh DONICA06 saved
     + number of vertices: 79
     + number of faces: 48
     + number of group: 1
....mesh KRZAK08 saved
     + number of vertices: 609
     + number of faces: 660
     + number of group: 1
....mesh DONICA07 saved
     + number of vertices: 79
     + number of faces: 48
     + number of group: 1
....mesh KRZAK09 saved
     + number of vertices: 609
     + number of faces: 660
     + number of group: 1
....mesh DONICA08 saved
     + number of vertices: 79
     + number of faces: 48
     + number of group: 1
....mesh KRZAK10 saved
     + number of vertices: 609
     + number of faces: 660
     + number of group: 1
....mesh DONICA09 saved
     + number of vertices: 79
     + number of faces: 48
     + number of group: 1
....mesh KRZAK11 saved
     + number of vertices: 609
     + number of faces: 660
     + number of group: 1
....mesh DONICA10 saved
     + number of vertices: 79
     + number of faces: 48
     + number of group: 1
....mesh BECZKA01 saved
     + number of vertices: 244
     + number of faces: 216
     + number of group: 1
....mesh BECZKA02 saved
     + number of vertices: 244
     + number of faces: 216
     + number of group: 1
....mesh BECZKA03 saved
     + number of vertices: 244
     + number of faces: 216
     + number of group: 1
....mesh BECZKA04 saved
     + number of vertices: 244
     + number of faces: 216
     + number of group: 1
....mesh BECZKA05 saved
     + number of vertices: 244
     + number of faces: 216
     + number of group: 1
....mesh BECZKA06 saved
     + number of vertices: 244
     + number of faces: 216
     + number of group: 1
....mesh SKRZYNIA01 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh SKRZYNIA02 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh SKRZYNIA03 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh SKRZYNIA04 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh SKRZYNIA05 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh SKRZYNIA06 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh SKRZYNIA07 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh SKRZYNIA08 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh SKRZYNIA09 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh SKRZYNIA10 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh SKRZYNIA11 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh SKRZYNIA12 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh SKRZYNIA13 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh SKRZYNIA14 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh SKRZYNIA15 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh SKRZYNIA16 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh SKRZYNIA17 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh SKRZYNIA18 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh SKRZYNIA19 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh SKRZYNIA20 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh OKNO01 saved
     + number of vertices: 86
     + number of faces: 48
     + number of group: 1
....mesh OKNO02 saved
     + number of vertices: 86
     + number of faces: 48
     + number of group: 1
....mesh BOX249 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX248 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX247 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX246 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX245 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh PLANE49 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....mesh BOX239 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX238 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX237 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX236 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX235 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh PLANE47 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....mesh BOX234 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX233 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX232 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX231 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX230 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh PLANE46 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....mesh BOX229 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX228 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX227 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX226 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX225 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh PLANE45 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....mesh BOX224 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX223 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX222 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX221 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX220 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh PLANE44 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....mesh BOX214 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX213 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX212 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX211 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX210 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh PLANE42 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....mesh BOX209 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX208 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX207 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX206 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX205 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh PLANE41 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....mesh BOX204 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX203 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX202 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX201 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX200 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh PLANE40 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....mesh BOX256 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX255 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX254 saved
     + number of vertices: 29
     + number of faces: 12
     + number of group: 1
....mesh BOX253 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX252 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX251 saved
     + number of vertices: 29
     + number of faces: 12
     + number of group: 1
....mesh PLANE50 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....mesh BOX250 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX184 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX183 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX182 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX181 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX180 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh PLANE36 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....mesh BOX179 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX178 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX177 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX176 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh PLANE35 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....mesh BOX175 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX174 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX173 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX172 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX171 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh PLANE34 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....mesh BOX170 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX169 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX168 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX167 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX166 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX165 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh PLANE33 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....mesh BOX164 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX163 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX162 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX161 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX160 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh PLANE32 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....mesh BOX154 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX153 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX152 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX151 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX150 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh PLANE30 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....mesh BOX149 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX148 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX147 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX146 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX145 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh PLANE29 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....mesh BOX144 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX143 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX142 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh PLANE28 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....mesh BOX141 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX140 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX139 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX138 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX137 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX136 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh PLANE27 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....mesh BOX135 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX92 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh BOX91 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX90 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX89 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX88 saved
     + number of vertices: 30
     + number of faces: 12
     + number of group: 1
....mesh PLANE18 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....mesh BOX77 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX76 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX75 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX74 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh BOX73 saved
     + number of vertices: 32
     + number of faces: 12
     + number of group: 1
....mesh PLANE15 saved
     + number of vertices: 25
     + number of faces: 32
     + number of group: 1
....camera CAMERA01 saved
     + position: [-748.84,92.56,-324.69]
     + fov: 53.33
     + roll: 0.00
....target CAMERA01.TARGET saved
     + position: [-744.85,37.64,-333.36]
....mesh NIEBO saved
     + number of vertices: 107
     + number of faces: 128
     + number of group: 1
....keyframer tree saved
     + node: ZIEMIA (mesh)
     + node: ZIEMIAA (mesh)
